@relation lbpFeatur_file
@attribute bin0 real
@attribute group {0,1}
@data
88, 1
78, 1
80, 1
107, 0
122, 0
115, 0
87, 1
109, 0
105, 0
62, 1
89, 1
75, 1
104, 0
80, 1
119, 0
111, 0
110, 0
118, 0
101, 1
120, 0
122, 0
93, 1
122, 0
119, 0
92, 1
120, 0
120, 0
119, 0
95, 0
121, 0
107, 1
94, 1
87, 1
80, 1
76, 1
79, 1
78, 1
94, 1
88, 1
119, 0
84, 1
89, 1
76, 1
94, 1
59, 1
87, 1
82, 1
100, 1
84, 1
114, 0
80, 1
113, 0
119, 0
103, 1
75, 1
86, 1
87, 1
110, 1
109, 0
95, 1
85, 1
76, 1
126, 0
83, 1
91, 1
105, 1
76, 1
91, 1
110, 0
81, 1
104, 1
104, 0
120, 0
80, 1
94, 1
115, 0
117, 0
126, 0
115, 0
92, 0
104, 0
119, 0
119, 0
124, 0
103, 1
92, 1
95, 1
88, 1
65, 1
73, 1
64, 1
70, 1
57, 1
62, 1
86, 1
68, 1
94, 1
66, 1
82, 0
86, 1
78, 1
93, 1
89, 1
83, 1
90, 1
83, 1
117, 1
79, 1
116, 0
107, 0
95, 1
119, 0
60, 1
72, 1
87, 1
61, 1
86, 1
103, 1
81, 1
106, 1
58, 1
65, 1
94, 1
59, 1
87, 1
64, 1
86, 1
65, 1
74, 1
92, 1
86, 0
69, 1
92, 1
101, 1
99, 1
64, 1
61, 1
84, 1
68, 1
77, 1
95, 1
76, 1
89, 1
64, 1
113, 0
106, 1
102, 1
59, 1
71, 1
86, 1
93, 1
110, 1
87, 1
94, 1
71, 1
114, 0
116, 0
116, 0
80, 1
77, 1
110, 0
123, 0
113, 0
118, 1
119, 0
116, 0
92, 0
109, 0
108, 0
107, 0
95, 0
103, 0
90, 1
100, 0
101, 0
105, 1
100, 0
73, 1
95, 1
114, 0
93, 1
93, 1
68, 1
95, 0
64, 1
101, 0
86, 0
106, 0
87, 1
74, 1
95, 0
70, 1
