@relation lbpFeatur_file
@attribute bin0 real
@attribute group {0,1}
@data
8, 1
10, 1
4, 1
5, 0
4, 0
10, 0
5, 1
5, 0
6, 0
4, 1
15, 1
11, 1
5, 0
11, 1
9, 0
2, 0
2, 0
5, 0
22, 1
4, 0
6, 0
10, 1
4, 0
8, 0
7, 1
7, 0
8, 0
2, 0
6, 0
6, 0
6, 1
4, 1
5, 1
25, 1
6, 1
6, 1
3, 1
13, 1
9, 1
6, 0
7, 1
4, 1
8, 1
5, 1
11, 1
15, 1
24, 1
27, 1
11, 1
4, 0
6, 1
12, 0
5, 0
7, 1
9, 1
7, 1
26, 1
7, 1
4, 0
7, 1
11, 1
11, 1
7, 0
20, 1
16, 1
35, 1
2, 1
20, 1
4, 0
8, 1
4, 1
5, 0
3, 0
22, 1
6, 1
3, 0
4, 0
2, 0
5, 0
9, 0
5, 0
8, 0
4, 0
12, 0
7, 1
10, 1
16, 1
29, 1
3, 1
19, 1
100, 1
9, 1
12, 1
5, 1
11, 1
9, 1
4, 1
7, 1
8, 0
8, 1
5, 1
16, 1
4, 1
6, 1
12, 1
22, 1
28, 1
11, 1
5, 0
4, 0
9, 1
8, 0
9, 1
3, 1
7, 1
8, 1
21, 1
6, 1
5, 1
7, 1
12, 1
5, 1
6, 1
8, 1
35, 1
5, 1
3, 1
9, 1
8, 1
19, 1
8, 0
8, 1
8, 1
9, 1
8, 1
8, 1
2, 1
15, 1
19, 1
14, 1
100, 1
5, 1
5, 1
13, 1
12, 0
14, 1
5, 1
5, 1
5, 1
3, 1
13, 1
13, 1
12, 1
21, 1
3, 1
4, 0
12, 0
3, 0
4, 1
4, 1
11, 0
6, 0
3, 0
6, 1
4, 0
3, 0
5, 0
5, 0
5, 0
5, 0
3, 0
3, 0
16, 1
3, 0
8, 0
9, 1
14, 0
3, 1
7, 1
7, 0
4, 1
8, 1
6, 1
7, 0
4, 1
1, 0
5, 0
5, 0
3, 1
32, 1
14, 0
5, 1
