@relation lbpFeatur_file
@attribute bin0 real
@attribute bin1 real
@attribute bin2 real
@attribute bin3 real
@attribute bin4 real
@attribute bin5 real
@attribute bin6 real
@attribute bin7 real
@attribute bin8 real
@attribute bin9 real
@attribute bin10 real
@attribute bin11 real
@attribute bin12 real
@attribute bin13 real
@attribute bin14 real
@attribute bin15 real
@attribute bin16 real
@attribute bin17 real
@attribute bin18 real
@attribute bin19 real
@attribute bin20 real
@attribute bin21 real
@attribute bin22 real
@attribute bin23 real
@attribute bin24 real
@attribute bin25 real
@attribute bin26 real
@attribute bin27 real
@attribute bin28 real
@attribute bin29 real
@attribute bin30 real
@attribute bin31 real
@attribute bin32 real
@attribute bin33 real
@attribute bin34 real
@attribute bin35 real
@attribute bin36 real
@attribute bin37 real
@attribute bin38 real
@attribute bin39 real
@attribute bin40 real
@attribute bin41 real
@attribute bin42 real
@attribute bin43 real
@attribute bin44 real
@attribute bin45 real
@attribute bin46 real
@attribute bin47 real
@attribute bin48 real
@attribute bin49 real
@attribute bin50 real
@attribute bin51 real
@attribute bin52 real
@attribute bin53 real
@attribute bin54 real
@attribute bin55 real
@attribute bin56 real
@attribute bin57 real
@attribute bin58 real
@attribute group {0,1}
@data
7.995422e-02, 1.422498e-02, 8.221994e-03, 1.009063e-02, 1.403812e-02, 7.194245e-03, 1.093151e-02, 5.162104e-03, 7.077455e-03, 4.391292e-03, 5.839484e-03, 1.200598e-02, 6.446791e-03, 9.343175e-03, 8.362141e-03, 8.011772e-03, 7.287676e-03, 7.264318e-03, 8.525647e-03, 1.249650e-02, 7.521256e-03, 6.937307e-03, 1.441185e-02, 7.124171e-03, 7.381108e-03, 9.553396e-03, 1.205270e-02, 6.984023e-03, 9.950481e-03, 7.054097e-03, 9.086238e-03, 1.434177e-02, 2.548351e-02, 7.567972e-03, 7.544614e-03, 1.209941e-02, 8.292068e-03, 1.228627e-02, 2.877698e-02, 2.424554e-02, 1.041764e-02, 1.492572e-02, 4.788377e-03, 9.997197e-03, 1.048771e-02, 1.062786e-02, 1.287022e-02, 5.956274e-03, 8.081846e-03, 9.062880e-03, 1.324395e-02, 4.858451e-03, 8.408857e-03, 1.216949e-02, 7.427824e-03, 1.294030e-02, 1.002055e-02, 1.135429e-01, 2.346071e-01, 1
8.642460e-02, 1.382420e-02, 6.678265e-03, 7.033691e-03, 1.619994e-02, 6.547318e-03, 8.941766e-03, 6.135773e-03, 7.445236e-03, 4.527003e-03, 7.445236e-03, 1.371196e-02, 7.707129e-03, 8.848233e-03, 7.987728e-03, 8.717287e-03, 7.108517e-03, 8.249621e-03, 6.285426e-03, 7.594889e-03, 5.537161e-03, 8.474101e-03, 1.795836e-02, 6.827918e-03, 8.305741e-03, 8.885646e-03, 1.060666e-02, 8.979180e-03, 1.369325e-02, 6.696971e-03, 8.249621e-03, 1.040088e-02, 1.573227e-02, 6.210599e-03, 7.669716e-03, 1.305722e-02, 6.846624e-03, 1.099949e-02, 2.826571e-02, 1.764035e-02, 9.110126e-03, 1.412350e-02, 4.695363e-03, 7.276877e-03, 8.025142e-03, 8.717287e-03, 1.163552e-02, 6.622145e-03, 8.492807e-03, 8.923060e-03, 1.388032e-02, 6.248012e-03, 8.623754e-03, 1.346877e-02, 8.979180e-03, 1.367454e-02, 1.047571e-02, 1.180575e-01, 2.505191e-01, 1
6.515322e-02, 1.174051e-02, 6.135580e-03, 7.744097e-03, 1.512337e-02, 7.312948e-03, 9.551605e-03, 4.991377e-03, 6.815468e-03, 4.925046e-03, 5.837092e-03, 1.114354e-02, 7.180287e-03, 1.160785e-02, 9.203370e-03, 9.568188e-03, 6.168745e-03, 8.705890e-03, 9.435527e-03, 1.399575e-02, 7.147121e-03, 9.402361e-03, 1.530578e-02, 7.213452e-03, 9.186787e-03, 1.044707e-02, 1.500730e-02, 8.639560e-03, 1.165760e-02, 5.107456e-03, 8.573229e-03, 1.500730e-02, 2.853874e-02, 6.599894e-03, 8.921465e-03, 1.285155e-02, 7.793845e-03, 1.780976e-02, 4.382794e-02, 2.719554e-02, 9.684266e-03, 1.422791e-02, 4.825551e-03, 1.102746e-02, 1.296763e-02, 1.225458e-02, 8.904882e-03, 5.405943e-03, 9.269700e-03, 1.154152e-02, 1.323295e-02, 5.903423e-03, 8.722473e-03, 1.318321e-02, 8.457150e-03, 1.417816e-02, 8.357655e-03, 1.044044e-01, 2.148780e-01, 1
6.423240e-02, 1.471609e-02, 7.917511e-03, 9.050607e-03, 1.175587e-02, 8.696514e-03, 1.232242e-02, 4.036656e-03, 5.396371e-03, 6.897724e-03, 1.240740e-02, 1.099103e-02, 5.056442e-03, 9.829611e-03, 1.219495e-02, 1.259153e-02, 7.110179e-03, 6.770251e-03, 5.523845e-03, 9.602991e-03, 7.520927e-03, 8.484059e-03, 1.346968e-02, 8.030820e-03, 8.739005e-03, 9.489682e-03, 9.801283e-03, 6.430322e-03, 1.001374e-02, 4.999788e-03, 9.064771e-03, 1.083523e-02, 2.080648e-02, 8.441568e-03, 1.019787e-02, 1.004207e-02, 8.243276e-03, 1.688314e-02, 2.893645e-02, 2.227951e-02, 1.162840e-02, 1.999915e-02, 9.447191e-03, 1.791709e-02, 1.388043e-02, 1.249239e-02, 1.152926e-02, 1.383794e-02, 1.582086e-02, 1.158591e-02, 1.536762e-02, 6.288685e-03, 9.248899e-03, 1.104769e-02, 7.464272e-03, 1.480107e-02, 7.336799e-03, 1.073750e-01, 2.131213e-01, 0
3.108798e-02, 1.072134e-02, 2.249917e-03, 6.436719e-03, 1.079960e-02, 5.086769e-03, 1.580811e-02, 1.995578e-03, 5.243284e-03, 3.873770e-03, 8.236652e-03, 8.138830e-03, 5.419365e-03, 1.475163e-02, 1.017354e-02, 1.837106e-02, 2.445562e-03, 5.165027e-03, 6.808444e-03, 2.531646e-02, 8.197523e-03, 1.142566e-02, 1.134741e-02, 4.871559e-03, 1.406687e-02, 1.987753e-02, 3.255532e-02, 1.101481e-02, 1.473206e-02, 2.875981e-03, 7.219298e-03, 1.263866e-02, 3.752470e-02, 8.041007e-03, 1.138654e-02, 7.845362e-03, 6.084558e-03, 2.111009e-02, 3.607693e-02, 4.867646e-02, 1.410600e-02, 1.829280e-02, 4.949817e-03, 1.457555e-02, 1.232563e-02, 1.555377e-02, 8.080136e-03, 1.064308e-02, 2.017099e-02, 1.365602e-02, 1.909495e-02, 8.901845e-03, 1.046700e-02, 7.806233e-03, 9.840941e-03, 1.412556e-02, 5.654139e-03, 1.122611e-01, 1.537965e-01, 0
6.045956e-02, 1.191684e-02, 4.496170e-03, 6.903412e-03, 1.460261e-02, 7.420670e-03, 1.332935e-02, 3.342286e-03, 6.883517e-03, 4.297225e-03, 8.574555e-03, 1.084253e-02, 6.982990e-03, 1.052422e-02, 7.201830e-03, 1.026559e-02, 5.252164e-03, 8.335820e-03, 8.932657e-03, 1.434398e-02, 5.809211e-03, 8.455188e-03, 1.718890e-02, 8.634239e-03, 1.303094e-02, 1.706953e-02, 1.798468e-02, 9.847807e-03, 1.350841e-02, 4.018701e-03, 8.256242e-03, 9.927385e-03, 2.049140e-02, 8.554660e-03, 1.048443e-02, 1.080275e-02, 8.455188e-03, 1.700985e-02, 3.322391e-02, 2.494778e-02, 1.036507e-02, 1.517955e-02, 5.172585e-03, 1.072317e-02, 1.139958e-02, 1.173779e-02, 9.191286e-03, 8.256242e-03, 1.213568e-02, 1.201631e-02, 1.490102e-02, 8.455188e-03, 1.098180e-02, 1.468218e-02, 1.096190e-02, 1.679101e-02, 9.489705e-03, 1.103153e-01, 2.046354e-01, 0
7.040684e-02, 1.540462e-02, 6.058961e-03, 8.888381e-03, 1.510453e-02, 7.759471e-03, 1.033167e-02, 4.158390e-03, 6.744881e-03, 4.715700e-03, 7.145001e-03, 1.360408e-02, 6.844911e-03, 1.320396e-02, 7.845211e-03, 1.198931e-02, 5.001500e-03, 8.131011e-03, 5.244430e-03, 1.190357e-02, 7.559411e-03, 1.067463e-02, 1.520456e-02, 7.930951e-03, 9.745781e-03, 9.474271e-03, 1.446148e-02, 1.193215e-02, 1.140342e-02, 5.030080e-03, 9.474271e-03, 1.011732e-02, 1.733377e-02, 7.187871e-03, 1.146058e-02, 1.190357e-02, 8.831221e-03, 1.540462e-02, 2.252104e-02, 2.220666e-02, 1.266094e-02, 1.500450e-02, 4.972920e-03, 1.123194e-02, 1.054602e-02, 1.446148e-02, 1.003158e-02, 6.702011e-03, 1.237514e-02, 1.211792e-02, 1.433287e-02, 6.816331e-03, 1.107475e-02, 1.104617e-02, 1.108904e-02, 1.243230e-02, 9.945841e-03, 1.080896e-01, 2.247246e-01, 1
7.637585e-02, 1.453488e-02, 6.012567e-03, 7.962588e-03, 1.543767e-02, 4.279214e-03, 7.077856e-03, 4.152824e-03, 4.911166e-03, 1.968077e-03, 2.816698e-03, 1.086957e-02, 5.687563e-03, 7.168135e-03, 3.954211e-03, 4.586162e-03, 5.182002e-03, 5.994511e-03, 7.276470e-03, 9.479272e-03, 4.550051e-03, 6.211180e-03, 1.789325e-02, 5.163946e-03, 7.998700e-03, 1.038206e-02, 1.325293e-02, 7.384804e-03, 1.440849e-02, 5.759786e-03, 8.720930e-03, 1.345154e-02, 2.887115e-02, 3.918099e-03, 6.879243e-03, 1.193485e-02, 6.229236e-03, 1.352376e-02, 3.185035e-02, 2.795031e-02, 1.049039e-02, 1.760436e-02, 2.979200e-03, 5.687563e-03, 9.334826e-03, 1.186263e-02, 1.155568e-02, 4.243103e-03, 6.301459e-03, 8.287592e-03, 1.904882e-02, 6.102846e-03, 7.601473e-03, 1.361404e-02, 8.125090e-03, 1.413766e-02, 8.504261e-03, 1.314640e-01, 2.509931e-01, 0
5.246315e-02, 1.020881e-02, 3.982160e-03, 7.095485e-03, 1.495844e-02, 5.835674e-03, 1.443714e-02, 4.387616e-03, 6.154247e-03, 2.664427e-03, 6.125286e-03, 9.904718e-03, 7.428538e-03, 1.275739e-02, 4.460019e-03, 7.399577e-03, 3.938718e-03, 8.442179e-03, 1.352486e-02, 2.095340e-02, 7.602305e-03, 8.992441e-03, 1.575487e-02, 7.428538e-03, 1.252570e-02, 1.891164e-02, 2.390744e-02, 1.054186e-02, 1.297460e-02, 4.720670e-03, 8.094645e-03, 1.355382e-02, 3.705581e-02, 8.601465e-03, 9.195169e-03, 1.116453e-02, 7.240291e-03, 1.668163e-02, 4.041530e-02, 3.738886e-02, 1.226505e-02, 1.459643e-02, 3.750471e-03, 7.356135e-03, 1.038258e-02, 1.258363e-02, 7.428538e-03, 6.718990e-03, 1.026673e-02, 1.039706e-02, 1.610241e-02, 7.978800e-03, 9.687509e-03, 1.248226e-02, 1.029569e-02, 1.462539e-02, 6.588665e-03, 1.088650e-01, 1.877552e-01, 0
6.348149e-02, 1.178096e-02, 6.131034e-03, 1.027596e-02, 1.410014e-02, 8.659931e-03, 1.370539e-02, 5.082467e-03, 6.994560e-03, 5.785624e-03, 8.894317e-03, 1.150957e-02, 7.895094e-03, 1.127518e-02, 9.313744e-03, 1.109014e-02, 6.575133e-03, 9.474113e-03, 1.021428e-02, 1.649334e-02, 9.178047e-03, 8.906653e-03, 1.490199e-02, 8.499562e-03, 1.345867e-02, 1.524740e-02, 1.767761e-02, 9.757843e-03, 1.001690e-02, 5.205828e-03, 8.758620e-03, 1.352035e-02, 2.442545e-02, 1.046100e-02, 1.052268e-02, 1.134920e-02, 8.351529e-03, 1.493900e-02, 3.401058e-02, 2.560971e-02, 1.202768e-02, 1.252113e-02, 7.228945e-03, 1.301457e-02, 1.208936e-02, 1.104080e-02, 9.905876e-03, 1.216338e-02, 1.234842e-02, 9.918212e-03, 1.102846e-02, 9.733170e-03, 1.062137e-02, 1.263215e-02, 1.073239e-02, 1.295289e-02, 9.782515e-03, 9.107731e-02, 1.956503e-01, 1
